2021/7/13    	0.244	-59.913	1192.1	-0.013		
2021/7/14    	0.245	-60.006	1192.1	-0.013		
2021/7/15    	0.244	-60.099	1192.1	-0.013		
2021/7/16    	0.245	-60.312	1192.1	-0.012		
2021/7/17    	0.246	-59.91	1192	-0.011		
2021/7/18    	0.245	-59.688	1192	-0.01		
2021/7/19    	0.246	-59.525	1192	-0.008		
2021/7/20    	0.244	-59.453	1192	-0.008		
2021/7/21    	0.243	-59.642	1192	-0.006		
2021/7/22    	0.241	-59.382	1192	-0.003		
2021/7/23    	0.24	-59.556	1192	0.001		
2021/7/24    	0.239	-59.573	1192	0.005		
2021/7/25    	0.237	-59.598	1191.9	0.007		
2021/7/26    	0.235	-59.456	1191.9	0.009		
2021/7/27    	0.235	-59.873	1191.9	0.01		
2021/7/28    	0.236	-60.007	1191.9	0.012		
2021/7/29    	0.236	-60.016	1191.9	0.012		
2021/7/30    	0.235	-59.812	1191.9	0.013		
2021/7/31    	0.235	-59.411	1191.9	0.013		
2021/8/1    	0.235	-59.509	1191.9	0.012		
2021/8/2    	0.235	-59.598	1191.9	0.013		
2021/8/3    	0.235	-59.569	1191.9	0.014		
2021/8/4    	0.234	-59.588	1191.8	0.014		
2021/8/5    	0.233	-59.662	1191.8	0.014		
2021/8/6    	0.232	-59.879	1191.7	0.012		
2021/8/7    	0.233	-60.365	1191.7	0.011		
2021/8/8    	0.233	-60.533	1191.7	0.011		
2021/8/9    	0.228	-60.158	1191.7	0.012		
2021/8/10    	0.215	-58.154	1191.8	0.013		
2021/8/11    	0.21	-57.964	1191.8	0.014		
2021/8/12    	0.211	-57.627	1191.8	0.016		
2021/8/13    	0.211	-57.768	1191.9	0.016		
2021/8/14    	0.21	-57.833	1192	0.016		
2021/8/15    	0.209	-57.358	1192	0.016		
2021/8/16    	0.207	-57.343	1192.1	0.017		
2021/8/17    	0.206	-57.434	1192.2	0.018		
2021/8/18    	0.203	-57.309	1192.3	0.019		
2021/8/19    	0.203	-56.955	1192.4	0.023		
2021/8/20    	0.201	-56.625	1192.4	0.026		
2021/8/21    	0.201	-56.035	1192.4	0.03		
2021/8/22    	0.202	-55.856	1192.4	0.032		
2021/8/23    	0.202	-55.572	1192.4	0.033		
2021/8/24    	0.202	-55.624	1192.5	0.036		
2021/8/25    	0.203	-55.563	1192.5	0.038		
2021/8/26    	0.204	-55.458	1192.5	0.04		
2021/8/27    	0.204	-55.072	1192.5	0.041		
2021/8/28    	0.203	-55.323	1192.5	0.041		
2021/8/29    	0.202	-55.617	1192.6	0.041		
2021/8/30    	0.203	-56.084	1192.6	0.043		
2021/8/31    	0.202	-56.103	1192.5	0.044		
2021/9/1    	0.202	-55.654	1192.4	0.044		
2021/9/2    	0.202	-55.989	1192.3	0.042		
2021/9/3    	0.203	-55.914	1192.3	0.04		
2021/9/4    	0.203	-56.284	1192.2	0.038		
2021/9/5    	0.206	-55.733	1192.2	0.037		
2021/9/6    	0.207	-55.593	1192.2	0.037		
2021/9/7    	0.209	-55.591	1192.1	0.037		
2021/9/8    	0.213	-56.907	1192.1	0.038		
2021/9/9    	0.226	-58.311	1192.1	0.037		
2021/9/10    	0.23	-57.808	1192.2	0.036		
2021/9/11    	0.23	-57.492	1192.3	0.035		
2021/9/12    	0.231	-57.062	1192.4	0.035		
2021/9/13    	0.23	-57.003	1192.5	0.036		
2021/9/14    	0.23	-56.938	1192.6	0.037		
2021/9/15    	0.228	-57.017	1192.7	0.038		
2021/9/16    	0.227	-57.05	1192.8	0.04		
2021/9/17    	0.228	-56.86	1192.8	0.041		
2021/9/18    	0.228	-56.768	1192.9	0.043		
2021/9/19    	0.227	-56.565	1192.9	0.044		
2021/9/20    	0.228	-56.875	1193	0.045		
2021/9/21    	0.228	-56.742	1193	0.048		
2021/9/22    	0.228	-56.759	1193.1	0.051		
2021/9/23    	0.229	-56.519	1193.1	0.053		
2021/9/24    	0.231	-56.406	1193.2	0.053		
2021/9/25    	0.23	-56.09	1193.3	0.054		
2021/9/26    	0.229	-55.838	1193.3	0.055		
2021/9/27    	0.229	-55.897	1193.4	0.057		
2021/9/28    	0.23	-55.72	1193.4	0.059		
2021/9/29    	0.23	-55.562	1193.3	0.058		
2021/9/30    	0.23	-55.377	1193.3	0.056		
2021/10/1    	0.23	-55.481	1193.3	0.054		
2021/10/2    	0.231	-55.645	1193.3	0.052		
2021/10/3    	0.23	-55.567	1193.3	0.05		
2021/10/4    	0.232	-55.571	1193.3	0.048		
2021/10/5    	0.232	-55.642	1193.3	0.045		
2021/10/6    	0.232	-55.939	1193.3	0.044		
2021/10/7    	0.233	-55.806	1193.3	0.042		
2021/10/8    	0.235	-56.522	1193.2	0.04		
2021/10/9    	0.235	-56.551	1193.2	0.038		
2021/10/10    	0.236	-56.807	1193.3	0.038		
2021/10/11    	0.237	-57.025	1193.3	0.038		
2021/10/12    	0.237	-57.124	1193.3	0.039		
2021/10/13    	0.236	-57.251	1193.3	0.039		
2021/10/14    	0.237	-57.63	1193.3	0.039		
2021/10/15    	0.238	-57.615	1193.3	0.039		
2021/10/16    	0.238	-57.89	1193.3	0.039		
2021/10/17    	0.237	-58.145	1193.3	0.039		
2021/10/18    	0.238	-58.156	1193.3	0.039		
2021/10/19    	0.238	-58.341	1193.3	0.04		
2021/10/20    	0.238	-58.319	1193.4	0.042		
2021/10/21    	0.238	-58.296	1193.4	0.042		
2021/10/22    	0.239	-58.088	1193.5	0.042		
2021/10/23    	0.239	-57.986	1193.6	0.042		
2021/10/24    	0.238	-58.071	1193.7	0.044		
2021/10/25    	0.238	-58.085	1193.8	0.046		
2021/10/26    	0.239	-57.85	1193.8	0.047		
2021/10/27    	0.239	-57.813	1193.8	0.046		
2021/10/28    	0.238	-58.097	1193.8	0.044		
2021/10/29    	0.237	-58.26	1193.9	0.044		
2021/10/30    	0.237	-58.405	1193.9	0.044		
2021/10/31    	0.238	-58.375	1194	0.042		
2021/11/1    	0.237	-58.495	1194.1	0.039		
2021/11/2    	0.236	-58.709	1194.2	0.037		
2021/11/3    	0.237	-58.785	1194.2	0.034		
2021/11/4    	0.238	-58.791	1194.2	0.031		
2021/11/5    	0.239	-58.639	1194.2	0.026		
2021/11/6    	0.237	-58.824	1194.1	0.022		
2021/11/7    	0.235	-57.55	1194.1	0.021		
2021/11/8    	0.235	-57.503	1194.1	0.021		
2021/11/9    	0.234	-57.407	1194	0.021		
2021/11/10    	0.232	-57.57	1193.9	0.02		
2021/11/11    	0.233	-57.861	1193.7	0.018		
2021/11/12    	0.233	-57.811	1193.6	0.018		
2021/11/13    	0.232	-57.893	1193.5	0.018		
2021/11/14    	0.233	-57.987	1193.4	0.019		
2021/11/15    	0.233	-58.124	1193.3	0.02		
2021/11/16    	0.234	-58.325	1193.3	0.02		
2021/11/17    	0.234	-58.394	1193.3	0.02		
2021/11/18    	0.236	-58.302	1193.3	0.02		
2021/11/19    	0.237	-58.137	1193.4	0.019		
2021/11/20    	0.238	-57.933	1193.4	0.019		
2021/11/21    	0.237	-57.991	1193.5	0.02		
2021/11/22    	0.236	-57.825	1193.5	0.021		
2021/11/23    	0.234	-57.809	1193.6	0.021		
2021/11/24    	0.234	-58.188	1193.6	0.019		
2021/11/25    	0.234	-58.732	1193.7	0.018		
2021/11/26    	0.233	-58.93	1193.7	0.018		
2021/11/27    	0.234	-59.185	1193.8	0.018		
2021/11/28    	0.235	-59.242	1193.9	0.018		
2021/11/29    	0.236	-59.37	1194	0.017		
2021/11/30    	0.235	-59.52	1194.2	0.016		
2021/12/1    	0.236	-59.441	1194.2	0.016		
2021/12/2    	0.237	-59.466	1194.2	0.013		
2021/12/3    	0.238	-59.139	1194.2	0.007		
2021/12/4    	0.238	-58.714	1194.2	0.002		
2021/12/5    	0.237	-58.458	1194.2	0		
2021/12/6    	0.236	-58.308	1194.2	0		
2021/12/7    	0.236	-58.904	1194.1	-0.002		
2021/12/8    	0.235	-58.87	1194	-0.006		
2021/12/9    	0.234	-59.1	1193.8	-0.008		
2021/12/10    	0.234	-59.419	1193.7	-0.009		
2021/12/11    	0.235	-59.736	1193.5	-0.009		
2021/12/12    	0.235	-59.862	1193.4	-0.007		
2021/12/13    	0.236	-59.9	1193.3	-0.004		
2021/12/14    	0.238	-60.024	1193.2	-0.002		
2021/12/15    	0.239	-59.778	1193.2	0		
2021/12/16    	0.24	-59.372	1193.2	0.001		
2021/12/17    	0.241	-59.358	1193.2	0.002		
2021/12/18    	0.24	-59.292	1193.2	0.004		
2021/12/19    	0.239	-59.163	1193.1	0.006		
2021/12/20    	0.24	-59.297	1193.1	0.006		
2021/12/21    	0.239	-59.241	1193.1	0.004		
2021/12/22    	0.24	-59.482	1193.1	0.002		
2021/12/23    	0.241	-59.384	1193.1	0.001		
2021/12/24    	0.242	-59.277	1193.2	0.001		
2021/12/25    	0.242	-59.209	1193.3	0.001		
2021/12/26    	0.243	-59.124	1193.3	0.001		
2021/12/27    	0.244	-59.147	1193.4	0.002		
2021/12/28    	0.245	-58.884	1193.5	0.003		
2021/12/29    	0.246	-58.918	1193.5	0.003		
2021/12/30    	0.248	-58.786	1193.5	0.001		
2021/12/31    	0.247	-58.465	1193.5	-0.003		
2022/1/1    	0.247	-58.452	1193.6	-0.006		
2022/1/2    	0.246	-58.632	1193.6	-0.006		
2022/1/3    	0.246	-58.828	1193.7	-0.006		
2022/1/4    	0.246	-58.914	1193.6	-0.007		
2022/1/5    	0.246	-58.957	1193.6	-0.01		
2022/1/6    	0.245	-58.864	1193.5	-0.013		
2022/1/7    	0.246	-59.073	1193.5	-0.015		
2022/1/8    	0.247	-58.91	1193.4	-0.014		
2022/1/9    	0.247	-58.628	1193.3	-0.012		
2022/1/10    	0.247	-58.635	1193.2	-0.01		
2022/1/11    	0.247	-58.516	1193.2	-0.007		
2022/1/12    	0.247	-58.505	1193.2	-0.005		
2022/1/13    	0.247	-58.384	1193.1	-0.003		
2022/1/14    	0.246	-58.198	1193.1	0		
2022/1/15    	0.244	-58.092	1193	0.003		
2022/1/16    	0.243	-58.051	1193	0.006		
2022/1/17    	0.243	-57.995	1192.9	0.007		
2022/1/18    	0.243	-57.89	1192.8	0.008		
2022/1/19    	0.243	-57.969	1192.8	0.009		
2022/1/20    	0.243	-58.098	1192.8	0.011		
2022/1/21    	0.243	-58.172	1192.8	0.013		
2022/1/22    	0.243	-58.347	1192.8	0.015		
2022/1/23    	0.242	-58.169	1192.8	0.018		
2022/1/24    	0.243	-58.249	1192.8	0.018		
2022/1/25    	0.244	-58.075	1192.8	0.019		
2022/1/26    	0.245	-57.986	1192.8	0.016		
2022/1/27    	0.245	-57.941	1192.8	0.016		
2022/1/28    	0.245	-57.936	1192.8	0.013		
2022/1/29    	0.243	-58.067	1192.8	0.011		
2022/1/30    	0.243	-58.095	1192.9	0.014		
2022/1/31    	0.243	-57.857	1192.9	0.016		
2022/2/1    	0.245	-57.897	1192.9	0.017		
2022/2/2    	0.244	-58.228	1192.9	0.015		
2022/2/3    	0.246	-58.4	1192.9	0.014		
2022/2/4    	0.246	-58.595	1192.9	0.013		
2022/2/5    	0.248	-58.818	1192.9	0.013		
2022/2/6    	0.249	-58.939	1192.8	0.013		
2022/2/7    	0.249	-59.043	1192.8	0.013		
2022/2/8    	0.25	-58.776	1192.9	0.013		
2022/2/9    	0.25	-58.706	1192.9	0.013		
2022/2/10    	0.25	-58.702	1193	0.014		
2022/2/11    	0.249	-58.487	1193	0.016		
2022/2/12    	0.249	-58.042	1193	0.019		
2022/2/13    	0.249	-58.234	1192.9	0.021		
2022/2/14    	0.25	-58.479	1192.9	0.022		
2022/2/15    	0.251	-58.701	1192.8	0.025		
2022/2/16    	0.25	-59.113	1192.8	0.029		
2022/2/17    	0.249	-59.239	1192.8	0.034		
2022/2/18    	0.249	-59.101	1192.8	0.038		
2022/2/19    	0.249	-58.918	1192.7	0.041		
2022/2/20    	0.249	-58.46	1192.7	0.043		
2022/2/21    	0.251	-58.774	1192.6	0.045		
2022/2/22    	0.252	-58.757	1192.6	0.045		
2022/2/23    	0.251	-58.414	1192.5	0.045		
2022/2/24    	0.248	-58.75	1192.4	0.044		
2022/2/25    	0.247	-58.707	1192.4	0.045		
2022/2/26    	0.245	-58.945	1192.4	0.047		
2022/2/27    	0.243	-59.144	1192.4	0.049		
2022/2/28    	0.243	-59.139	1192.4	0.051		
2022/3/1    	0.243	-59.406	1192.3	0.051		
2022/3/2    	0.245	-59.553	1192.3	0.049		
2022/3/3    	0.245	-59.674	1192.3	0.048		
