S_final T_final U_final q1 q2 q3
1.287588513585353881e-06 9.829793490416965724e-07 6.366469254871224035e-09 1.449101034759672085e-04 1.730192067165639003e-01 1.731641168200398762e-01
1.297236613791202660e-06 9.758031004502063345e-07 6.319066442444456063e-09 1.007101018598959008e-05 4.248450723424763709e-01 4.248551433526623344e-01
1.310204104794261555e-06 9.938401575078057789e-07 6.110585593629575563e-09 4.327702006711644372e-04 8.186457016034509593e-02 8.229734036101625516e-02
1.305223319321756059e-06 9.977059446988483010e-07 6.134397630926535987e-09 4.430399534591806382e-04 -5.759586648853876056e-02 -5.715282653507958166e-02
1.299213537633016379e-06 1.002421460178357452e-06 6.162993582683007733e-09 5.173001179415766954e-04 -5.502775929587855330e-02 -5.451045917793697487e-02
1.295671081008044230e-06 1.005234949661106001e-06 6.180340760573581777e-09 5.937054892575302500e-04 -1.657826053175792680e-01 -1.651888998283217447e-01
1.296651097611447848e-06 1.004558841752363008e-06 6.176112991505979052e-09 8.077089756294147938e-04 1.654680076770276287e-03 2.462389052399691081e-03
1.303180961185129578e-06 9.995094008879136445e-07 6.146122005000232446e-09 8.827875816845489471e-04 -1.999531103619318628e-01 -1.990703227802473052e-01
1.315047278212511764e-06 9.905607844686054493e-07 6.091158207636919911e-09 9.359742643325914130e-04 -2.126124072658495123e-01 -2.116764330015169226e-01
1.330474878499291129e-06 9.791438645416885340e-07 6.021018541371665703e-09 1.028583034977286273e-03 6.429050882104370146e-02 6.531909185602098600e-02
1.347422119488870877e-06 9.668968930761326594e-07 5.945773683517713859e-09 1.006770867310977091e-03 1.824750190735535682e-01 1.834817899408645592e-01
1.363442972807021195e-06 9.556033191639066752e-07 5.876387561347560865e-09 9.125313673014091853e-04 -1.213529068633292241e-01 -1.204403754960278183e-01
1.375778723581046419e-06 9.471026744395471703e-07 5.824170974348857546e-09 8.965165280818074289e-04 1.562892661117381010e-01 1.571857826398199154e-01
1.382006680399716911e-06 9.429025146235970047e-07 5.798394389569275666e-09 6.610904573393847072e-04 1.927414416164943134e-01 1.934025320738337050e-01
1.379453954844813434e-06 9.447179917263300871e-07 5.809582588257517435e-09 4.289146487208191083e-04 3.507794769431384907e-01 3.512083915918592925e-01
1.366947904872599275e-06 9.534303209668915283e-07 5.863208511988913847e-09 2.050133568387221827e-04 1.426369072409698902e-01 1.428419205978086193e-01
1.347775714929711866e-06 9.670640449268713453e-07 5.947092975062876999e-09 -2.311082444879028475e-05 1.498090153447524386e-01 1.497859045203036588e-01
1.326729710942371934e-06 9.824775700566252841e-07 6.041918283314229350e-09 -4.467369801424217468e-05 -3.168056513138122199e-01 -3.168503250118264725e-01
1.307184581628074114e-06 9.972418416091488355e-07 6.132749696434102807e-09 -1.150112562615414336e-04 6.905050501035958632e-04 5.754937938420544297e-04
1.291386404591597301e-06 1.009515992829801567e-06 6.208275108825954352e-09 -3.450396713267946114e-05 6.164236325269634165e-02 6.160785928556366392e-02
1.281183299764051026e-06 1.017629665447867126e-06 6.258222738465990793e-09 3.555660485217437827e-06 -2.312784782126655614e-01 -2.312749225521803509e-01
1.278259560028983090e-06 1.020293316277423087e-06 6.270877089971302027e-09 5.635511628556376384e-05 -3.407625699988106049e-01 -3.407062148825250603e-01
1.283694651918087642e-06 1.016050421395195862e-06 6.244800045298270449e-09 1.127817311067664391e-04 -1.655146721587570369e-01 -1.654018904276502722e-01
1.296622901399411360e-06 1.005994924684710086e-06 6.183005525411561598e-09 1.627425366700178955e-04 -8.863923568689813237e-02 -8.847649315022811101e-02
1.312275248623287199e-06 9.940697444740041683e-07 6.109722504370950406e-09 1.666939304261344512e-04 1.196389983239214416e-01 1.198056922543475761e-01
1.324663184903836949e-06 9.848473702202497121e-07 6.053045958070071095e-09 1.313154461219621927e-04 1.890213582473716514e-01 1.891526736934936170e-01
1.329786922515580646e-06 9.811271016616644096e-07 6.030180329265471036e-09 5.409342415024082085e-05 3.310060873774602896e-01 3.310601808016105374e-01
1.327024536197733301e-06 9.832442446615422061e-07 6.043190335698132617e-09 -2.000740198334141629e-04 6.145694453264205492e-02 6.125687051280864076e-02
1.319450084940809460e-06 9.889641570990031972e-07 6.078341821910286939e-09 -1.904503194381165776e-04 5.003228202556719850e-02 4.984183170612908192e-02
1.311684915935687113e-06 9.948948118536551752e-07 6.114788028842391595e-09 -3.462927173693043648e-04 -2.074627206864843032e-01 -2.078090134038536041e-01
1.306126742637526862e-06 9.992047734423173791e-07 6.141273377734338233e-09 -3.510903233936574219e-04 -9.095806050175703206e-02 -9.130915082515068948e-02
1.301367466857023786e-06 1.002935469811669727e-06 6.164198655047400115e-09 -3.705851008661380230e-04 6.436409928281605630e-02 6.399351418194991481e-02
1.294017920577986711e-06 1.008708790456631110e-06 6.199678143596273825e-09 -3.430146102963958776e-04 3.315657596008723118e-01 3.312227449905759125e-01
1.283687656677858653e-06 1.017126159964096599e-06 6.248254765523293311e-09 -5.732951455565023224e-04 1.012508746754470224e-02 9.551792321988199913e-03
1.282102165588970269e-06 1.018464210180527762e-06 6.256432651278681941e-09 -6.394321558320960330e-04 -2.742116342519302918e-01 -2.748510664077624122e-01
1.307622522734460093e-06 9.986617026946051897e-07 6.134777950995929959e-09 -4.239914599565297593e-04 -1.467390912514090928e+00 -1.467814903974047347e+00
1.367532379589895415e-06 9.549722191856057605e-07 5.866469446626468092e-09 -4.835395258266858565e-04 -1.740207710885767867e+00 -1.740691250411594559e+00
1.451100082328749418e-06 9.000350376781784124e-07 5.529042362037637362e-09 -4.934676065820077506e-04 1.212493283652818832e+00 1.211999816046236855e+00
1.533578819845275304e-06 8.516990455300996484e-07 5.232053646810063856e-09 -5.012522155880931585e-04 1.374972438826708832e+00 1.374471186611120777e+00
1.590758992987996999e-06 8.211573501003219980e-07 5.044338614096612590e-09 -6.878081495623467045e-04 3.897460877876781637e-01 3.890582796381157893e-01
1.616884827362877223e-06 8.079555485396299076e-07 4.963185333673508461e-09 -6.260147779618280284e-04 7.231470474262646775e-02 7.168868996466463972e-02
1.627600566687832712e-06 8.027000022548323654e-07 4.930863442754640574e-09 -5.633174107170443867e-04 -1.527855069533368138e-01 -1.533488243640538651e-01
1.638570343970560806e-06 7.973896342289291475e-07 4.898204792046800045e-09 -4.376798528890543660e-04 -1.806265241640669927e-02 -1.850033226929575364e-02
1.651218328076958616e-06 7.913450659032912285e-07 4.861034693781694523e-09 -4.790124715900977159e-04 -8.301651934183684745e-02 -8.349553181342694863e-02
1.661202140180114575e-06 7.866516834804608942e-07 4.832167328914610585e-09 -5.620563646335646757e-04 2.052157772695881732e-01 2.046537209049545947e-01
1.664260059537069238e-06 7.852682406079842731e-07 4.823636122101739570e-09 -4.157636523525638783e-04 4.218240032635085512e-01 4.214082396111559770e-01
1.659543154058841052e-06 7.875621568820535559e-07 4.837694930101753876e-09 -1.024307312145096571e-04 -1.327629038464390732e-01 -1.328653345776535932e-01
1.652745250209590363e-06 7.908635729876575850e-07 4.857943011951661772e-09 8.381447167458630498e-05 1.032038112263924390e-01 1.032876256980670288e-01
1.652894531408935276e-06 7.908053705092587718e-07 4.857552101371758990e-09 2.500994856242146069e-04 -5.399263427613378852e-01 -5.396762432757136185e-01
1.663512521079175172e-06 7.858204255582612421e-07 4.826893554601384023e-09 3.613629195233954150e-04 -3.019728336029192661e-01 -3.016114706833958881e-01
1.678390202785399575e-06 7.789175363783026471e-07 4.784449375981904501e-09 4.779966467393544083e-04 1.834397092144364194e-01 1.839177058611757842e-01
1.687633175573191544e-06 7.747131825422275409e-07 4.758587275034874105e-09 3.128642368018276498e-04 7.819837757198850881e-01 7.822966399566869677e-01
1.681962207788170477e-06 7.773863613107483664e-07 4.774975422162742971e-09 3.286928792716609093e-05 -3.701248372626331218e-02 -3.697961443833614609e-02
1.657976992577894391e-06 7.886913860242304911e-07 4.844405630453513348e-09 2.350611764156268491e-05 4.275259561000721575e-01 4.275494622177137272e-01
1.616285880367663875e-06 8.090905448702207014e-07 4.969733174309150891e-09 2.301740849233492592e-04 1.619332377180429106e-01 1.621634118029662563e-01
1.559463381111765043e-06 8.386256726535005924e-07 5.151205403405524317e-09 3.702401916632902523e-04 4.339685824959058635e-01 4.343388226875691815e-01
1.493136063909409301e-06 8.759387342112120667e-07 5.380429827388045764e-09 6.528279255481640730e-04 4.118819453609336989e-01 4.125347732864818595e-01
1.428014398422239419e-06 9.159550272899206544e-07 5.626200084440934821e-09 6.288574812549456439e-04 -6.635846790283181917e-01 -6.629558215470632287e-01
1.377018731691971053e-06 9.499551819666052599e-07 5.834969996778340960e-09 7.181931555623535801e-04 -4.103926457030659947e-01 -4.096744525475036203e-01
1.347857887288083170e-06 9.705871319861090667e-07 5.961632884179335656e-09 6.572835523912766431e-04 -7.241765156663930725e-01 -7.235192321140018201e-01
1.340232429925358826e-06 9.761867327309360824e-07 5.995983596157619619e-09 6.117161576179083043e-04 -3.040388520007599737e-01 -3.034271358431420706e-01
1.346102579428952786e-06 9.720061000101166116e-07 5.970266693401572483e-09 6.375332679787685392e-04 6.610675421924128159e-02 6.674428748722005533e-02
1.356463204150423298e-06 9.646575637350784430e-07 5.925093212942368177e-09 8.077033910414196244e-04 1.447146387044657700e-01 1.455223420955071845e-01
1.365690185577612074e-06 9.582153169288972681e-07 5.885485770089187531e-09 7.531968561215428293e-04 1.075275038959535578e-01 1.082807007520751041e-01
1.372482443316126606e-06 9.535482469664672948e-07 5.856781080975962246e-09 7.462080972379624144e-04 -5.524354493143057709e-02 -5.449733683419261121e-02
1.378439900378897645e-06 9.495019995080585384e-07 5.831888175373726040e-09 6.329433818275213841e-04 -6.388651263499767197e-02 -6.325356925317014711e-02
1.383999026333384617e-06 9.457627139132030165e-07 5.808880962257561221e-09 5.005080324743706177e-04 3.780710296065237230e-02 3.830761099312673945e-02
1.387740886039943475e-06 9.432872971010115510e-07 5.793633421076046083e-09 3.998944258389799944e-04 1.564657872805330641e-01 1.568656817063720510e-01
1.386094073594770175e-06 9.439386218604393558e-07 5.803830500464470971e-09 3.474906707606507938e-04 1.431350751623536866e-01 1.434825658331143339e-01
1.378063748630350044e-06 9.495093311584103469e-07 5.838097254854388301e-09 2.166836295805947554e-04 1.806462277769664837e-01 1.808629114065470889e-01
1.366701588410053539e-06 9.574741317762675930e-07 5.887082319663718302e-09 3.076546989442471847e-04 1.732201362499257158e-01 1.735277909488699699e-01
1.356221214609596179e-06 9.649446600478432531e-07 5.933028732060059052e-09 2.603844652822907835e-04 -5.618841692415852407e-01 -5.616237847763029256e-01
1.349202671447213900e-06 9.700359528913382789e-07 5.964348349356946356e-09 3.030558465001963186e-04 4.393547586920121262e-02 4.423853171570141241e-02
1.346191865167110020e-06 9.722771001859041810e-07 5.978145264873824743e-09 2.138582891676871212e-04 1.165217767813757632e-01 1.167356350705434503e-01
1.347233070117631376e-06 9.716020358082848048e-07 5.973958367774688828e-09 3.163371125932609718e-04 -1.125491051600846504e-01 -1.122327680474913825e-01
1.353193408417223479e-06 9.673935277825969985e-07 5.948100685776200454e-09 4.437136395860803717e-04 -1.995806862100302226e-01 -1.991369725704441318e-01
1.366142749241042597e-06 9.582936826488462455e-07 5.892172181464732266e-09 4.781408324347515004e-04 -3.503208429853810202e-01 -3.498427021529462722e-01
1.385616918107556964e-06 9.448935833073254305e-07 5.809807403455421503e-09 5.915046536022067203e-04 -1.256435936272382037e-02 -1.197285470912161365e-02
1.406406360533364136e-06 9.309935951656224880e-07 5.724367021658692874e-09 5.838697049719426824e-04 2.494113796979231523e-01 2.499952494028950811e-01
1.422615217608539787e-06 9.204533830634710407e-07 5.659579186940639337e-09 5.327121345171485778e-04 2.936316672925087801e-01 2.941643794270259460e-01
1.430244688789411188e-06 9.156111130428841583e-07 5.629817467232386850e-09 3.607667535915071166e-04 8.753561950714860984e-02 8.789638626074011696e-02
1.428340383455741846e-06 9.169254676012687860e-07 5.637622933859248207e-09 3.399682280884573637e-04 1.427354991741101031e-01 1.430754674021985640e-01
1.418414749564702548e-06 9.234099927093742699e-07 5.677507517262931614e-09 1.479712892612609909e-04 2.336328092036730197e-01 2.337807804929342703e-01
1.402916996334369406e-06 9.336799825614258991e-07 5.740664358891252370e-09 9.693666064909678415e-05 7.138606956750948029e-02 7.148300622815857708e-02
1.385022266614909244e-06 9.458138082817285777e-07 5.815278369754693985e-09 7.675411950354427137e-06 -7.951312277336342049e-02 -7.950544736141307300e-02
1.368202916318535924e-06 9.575121996715802750e-07 5.887214677970941823e-09 8.647544868293360887e-06 -1.110172226894121650e-01 -1.110085751445438751e-01
1.355722992912153654e-06 9.663982479347968549e-07 5.941862335226899523e-09 1.202871124881751963e-05 -1.392839863652870491e-01 -1.392719576540382420e-01
1.349391817835249040e-06 9.710041375079279371e-07 5.970197425890238583e-09 9.089290458729262778e-05 -5.522208656051752484e-02 -5.513119365593023569e-02
1.348789586115158818e-06 9.715091856708586741e-07 5.973320393171747634e-09 1.402057153375921295e-04 -2.812014119940347001e-01 -2.810612062786971288e-01
1.352616986094099613e-06 9.688314383691060970e-07 5.956874047872256106e-09 1.272354563983738029e-04 8.169618647959886459e-02 8.182342193599723146e-02
1.359309546371310612e-06 9.641321606679360810e-07 5.927999483664431167e-09 2.367210744973757830e-04 8.507944666440891979e-03 8.744665740938267762e-03
1.366727372525290400e-06 9.589697494726576257e-07 5.896277365778765710e-09 1.748041113429008031e-04 -5.539913522344797059e-02 -5.522433111210506979e-02
1.371384295577472340e-06 9.557835636834984207e-07 5.876704851117100467e-09 1.624541755971542489e-04 1.231329434025099090e-01 1.232953975781070632e-01
1.369546492499674329e-06 9.571368846156755120e-07 5.885039598204858894e-09 1.255704527638040746e-04 2.854275881902488265e-01 2.855531586430126167e-01
1.358462286820026344e-06 9.650180876530483639e-07 5.933511112064789942e-09 1.294713287151132153e-04 3.440026492631087507e-01 3.441321205918238535e-01
1.338025465772145585e-06 9.798317079712245520e-07 6.024596523207487399e-09 9.066693653040844292e-05 1.128733837927899941e-01 1.129640507293204060e-01
1.312190898313516250e-06 9.991999113101056394e-07 6.143673267438800701e-09 -2.212586384351539204e-05 4.357616686450072052e-03 4.335490822606556660e-03
1.286681669878007034e-06 1.019088885935584664e-06 6.265947174194876766e-09 3.080404043538133296e-05 -1.935587200425672449e-01 -1.935279160021318723e-01
1.265542473179016191e-06 1.036191135804984595e-06 6.371092730547805045e-09 2.209105138743609753e-05 -1.312259455163466981e-01 -1.312038544649592742e-01
1.249105716376021236e-06 1.049905744939189473e-06 6.455418654497408298e-09 8.042405310098622861e-05 -1.226877506232249004e-01 -1.226073265701239090e-01
1.236164506929229779e-06 1.060976592236825635e-06 6.523495989040791629e-09 6.286779985229147549e-05 9.752914179799709871e-02 9.759200959784938845e-02
1.226706851767314881e-06 1.069236007992617508e-06 6.574292483202106247e-09 8.092611404692667820e-05 -3.191027632222187549e-02 -3.182935020817494881e-02
1.221757258593041074e-06 1.073646963131908841e-06 6.601431170726807686e-09 2.287098270735369449e-04 -3.500134206822220762e-01 -3.497847108551485618e-01
1.221917583259836720e-06 1.073456630157059797e-06 6.600270039813279455e-09 4.159036809867292656e-04 -1.587986447893356967e-01 -1.583827411083489622e-01
1.226243479167852146e-06 1.069067313424478674e-06 6.573303643192030963e-09 4.085348774777088771e-04 8.264500310517064463e-02 8.305353798264834830e-02
1.233243074375194175e-06 1.062173427174668813e-06 6.530940807068657901e-09 4.536779179584796151e-04 -8.529823971230143798e-03 -8.076146053271664182e-03
1.240544992717623432e-06 1.055263597302853943e-06 6.488479473315992779e-09 4.039728633610708414e-04 5.661212174310037426e-03 6.065185037671108267e-03
1.246128788045152203e-06 1.050165019339626089e-06 6.457151961157853325e-09 3.187334085433049524e-04 3.165212483345847261e-02 3.197085824200177756e-02
1.248963940547926006e-06 1.047662001628728686e-06 6.441781254704807743e-09 2.440588906691097681e-04 2.455596828588273439e-01 2.458037417494964572e-01
1.249823599875054739e-06 1.046966061613509262e-06 6.437518174460053051e-09 2.283408430390036770e-04 4.363416848937262671e-03 4.591757691976266348e-03
1.250947564103095893e-06 1.046035471193827658e-06 6.431811324167976194e-09 1.971419346790612148e-04 -1.189584343617706708e-01 -1.187612924270916026e-01
1.253305077266332808e-06 1.044014330883069514e-06 6.419402893543716844e-09 1.846371255245018994e-04 -3.217512676245739556e-01 -3.215666304990494329e-01
1.256103889024015241e-06 1.041633038886280324e-06 6.404780020194473439e-09 7.714259815341795168e-05 3.679168059492177179e-01 3.679939485473711080e-01
1.257818150992708673e-06 1.040220163329025914e-06 6.396104706784308858e-09 3.151437691661235219e-05 1.678145230407022126e-01 1.678460374176188319e-01
1.258173749394742172e-06 1.039885047346400962e-06 6.394061793111161999e-09 3.199216183042731532e-05 -1.409058960689115736e-01 -1.408739039070811550e-01
1.259710438486024272e-06 1.038638662116693564e-06 6.386411052323482923e-09 1.286065163567766401e-04 -1.957044824534008853e-01 -1.955758759370441191e-01
1.265878290760661892e-06 1.033533236574482524e-06 6.355040126188046061e-09 2.010552048267427033e-04 -1.512499320228215538e-01 -1.510488768179948094e-01
1.278199934364098459e-06 1.023644876505611309e-06 6.294266195937343417e-09 2.015746220604928973e-04 -7.681042352456124434e-02 -7.660884890250074797e-02
1.295379853607532680e-06 1.010141659572668283e-06 6.211271630190007749e-09 3.053547146740324958e-04 -3.301475469056391887e-02 -3.270939997588988291e-02
1.315755959910578606e-06 9.945695493554522378e-07 6.115558719697936397e-09 3.653324316888178352e-04 -3.718616087165926842e-02 -3.682082843997044885e-02
1.337540336728519167e-06 9.784411405138304862e-07 6.016423731084291986e-09 4.117878971277855182e-04 -7.492882852193361032e-02 -7.451704062480582480e-02
1.358597121732019678e-06 9.633458271878336427e-07 5.923635938460169103e-09 4.387367837909786350e-04 2.405899457530864538e-01 2.410286825368774255e-01
1.376028308061597107e-06 9.512118186393698859e-07 5.849049770373183970e-09 3.044277704784374705e-04 8.420568473937350973e-03 8.724996244415788443e-03
1.388032224720314161e-06 9.430550932761143869e-07 5.798914224755394306e-09 1.951971874308566779e-04 2.966664427844971641e-01 2.968616399719280485e-01
1.394770179242815443e-06 9.385688211974121235e-07 5.771345681109307640e-09 9.617079329729896764e-05 2.621716390591721790e-02 2.631333469921451687e-02
1.397602128006886442e-06 9.367365626214234238e-07 5.760094965660492346e-09 -4.415782222582861904e-05 -5.989620343591361973e-02 -5.994036125813945182e-02
1.397961563014166849e-06 9.364800451626354973e-07 5.758534600264886585e-09 -7.931458650809256050e-05 1.097375726698501808e-01 1.096582580833420917e-01
1.397835987018012979e-06 9.367256373738073920e-07 5.760061775737813061e-09 -1.328818653143042094e-04 4.153508002354477924e-02 4.140219815823047156e-02
1.398619196452644463e-06 9.365316127798655177e-07 5.755165422553736050e-09 7.205202370894406294e-05 -1.418241505572801486e-01 -1.417520985335712080e-01
1.401634547785415868e-06 9.345876697537016370e-07 5.743214948254888364e-09 5.588171857209833782e-05 -3.234121199289674564e-02 -3.228533027432464730e-02
1.407133718920313118e-06 9.310057524851819206e-07 5.721199165417386192e-09 1.859035693456793925e-04 -1.576453339743419946e-01 -1.574594304049963256e-01
1.414687193205359121e-06 9.261049042831620713e-07 5.691078709941115907e-09 1.756132911408664343e-04 1.800688746751841762e-01 1.802444879663250288e-01
1.424554707961934882e-06 9.197595796755862591e-07 5.652082150798642520e-09 1.673148642359206795e-04 -3.950474224830280434e-02 -3.933742738406688366e-02
1.438463707177337814e-06 9.109349119308678665e-07 5.597850354358880523e-09 1.077248456314502945e-04 -3.070267221120328571e-01 -3.069189972664014276e-01
1.457540153782654936e-06 8.990803871422637386e-07 5.524999771551145067e-09 7.047746864350529217e-05 -9.225857459937714111e-02 -9.218809713073364276e-02
1.479636077988626882e-06 8.857212363136669972e-07 5.442901190458437991e-09 1.484007505299020369e-05 1.577741067736937453e-02 1.579225075242236473e-02
1.499517717462619114e-06 8.740442795871416605e-07 5.371137785200606271e-09 1.422920242928754631e-04 3.357907022544353026e-01 3.359329942787281920e-01
1.511865260630190034e-06 8.669718067228423797e-07 5.327670395277030097e-09 -3.971223089779124527e-05 2.772781175171719070e-01 2.772384052862741366e-01
1.515182091100892696e-06 8.651395541471132116e-07 5.316406397761540837e-09 -9.526008625726500867e-05 1.571207062898061224e-02 1.561681054272334723e-02
1.509696781651263723e-06 8.683487212695479425e-07 5.336123144554836442e-09 -2.122475394347213273e-04 1.239544622301966825e-01 1.237422146907619647e-01
1.496289191791931380e-06 8.761958129181772820e-07 5.384341909070407881e-09 -2.374400326196415834e-04 1.597388207223904288e-01 1.595013806897707942e-01
1.474650669299931751e-06 8.891198959008167334e-07 5.463760109610979061e-09 -3.059983682327724330e-04 4.065522532915881726e-01 4.062462549233554210e-01
1.822142201046569421e-06 8.489318427276764002e-07 6.754202768577319074e-09 -4.608507770866430986e-03 1.007928089260357041e-01 9.618430115516926615e-02
1.721874705916204219e-06 8.984195197301768340e-07 7.147532725173495414e-09 -4.159492050253194712e-03 1.480095949469463434e+00 1.475936457419210202e+00
1.597186927538145489e-06 9.686275743021245817e-07 7.705514240217915424e-09 2.147745337794066539e-03 1.755785446715046660e+00 1.757933192052840710e+00
1.479418422820970897e-06 1.045805447839263716e-06 8.318909315912212834e-09 -7.725461158313157162e-04 -2.959916616064056427e+00 -2.960689162179887646e+00
1.393465888700034200e-06 1.110383078696920937e-06 8.832049771028259045e-09 -2.186479909197657986e-03 -7.904269271845230094e-01 -7.926134070937206344e-01
