S T U q1 q2 q3 WinSize
7.722431786580795946e-06 1.018542096932309147e-06 1.001071381106565086e-08 -2.985568741111179619e-02 -8.883628632232003497e-01 -9.182185506343121251e-01 6.000000000000000000e+00
7.476496793513151220e-06 1.018767673797449795e-06 1.001124918492945858e-08 -2.875883955717092183e-02 -1.994482881277868103e-01 -2.282071276849577390e-01 6.000000000000000000e+00
7.562590331635728714e-06 1.027025218443336909e-06 1.001187218848761742e-08 -2.787670485462430403e-02 1.565001192608050928e-01 1.286234144061808027e-01 6.000000000000000000e+00
7.533015519099609158e-06 1.022099505062146733e-06 1.000537312150764792e-08 -2.833013423807324155e-02 2.348127525555661066e-01 2.064826183174928720e-01 6.000000000000000000e+00
7.561665565138844244e-06 1.018388773355209300e-06 1.000490183656444965e-08 -2.870282768461100004e-02 1.185518023363503204e-01 8.984897465173932729e-02 6.000000000000000000e+00
7.585727014369885749e-06 1.015381048259323286e-06 1.000430779087465958e-08 -2.960374944121552804e-02 1.546691804913944424e-01 1.250654310501789213e-01 6.000000000000000000e+00
7.662087111412474788e-06 1.015543856013539939e-06 1.000369664347458377e-08 -3.068183529203322157e-02 3.043852358294394378e-01 2.737034005374062162e-01 6.000000000000000000e+00
7.681102978119802257e-06 1.015717011745823153e-06 1.000318173282408378e-08 -3.133484628546329837e-02 4.814556641999612197e-01 4.501208179144979282e-01 6.000000000000000000e+00
7.637190667383033846e-06 1.015901786274824503e-06 1.000286229903232384e-08 -3.133114116507680624e-02 4.764923413276029862e-01 4.451612001625261938e-01 6.000000000000000000e+00
7.548606815695573161e-06 1.016089325106724485e-06 1.000272429442456123e-08 -3.160564765202273502e-02 4.286974918161163828e-01 3.970918441640936547e-01 6.000000000000000000e+00
7.434436674426188198e-06 1.016257988700379333e-06 1.000298321535428857e-08 -3.053614990229132353e-02 2.896496480318884181e-01 2.591134981295971085e-01 6.000000000000000000e+00
7.333828004478449451e-06 1.016424331440290458e-06 1.000321849074656588e-08 -3.028524616064485336e-02 -5.723196555857210654e-01 -6.026049017463659396e-01 6.000000000000000000e+00
7.272826828416856648e-06 1.016582772415806474e-06 1.000337599684339215e-08 -2.974041751886784962e-02 -5.735666924877946826e-02 -8.709708676764732482e-02 6.000000000000000000e+00
7.271421218898234451e-06 1.016728853752960933e-06 1.000341209134355255e-08 -3.018892461763494905e-02 -4.371285024458515522e-02 -7.390177486222010428e-02 6.000000000000000000e+00
7.445827752189055863e-06 1.021858840759900673e-06 1.000343065906466977e-08 -3.015733465186253709e-02 -3.073251896647519743e-01 -3.374825243166145183e-01 6.000000000000000000e+00
7.483385842275107297e-06 1.016951364732464682e-06 1.000343560993703670e-08 -2.987038381064861109e-02 -3.894798539865149678e-01 -4.193502377971635720e-01 6.000000000000000000e+00
8.165468240390788803e-06 1.039215612657815344e-06 1.000342938439885405e-08 -3.155277577702775282e-02 -4.558764101779857469e-01 -4.874291859550134998e-01 6.000000000000000000e+00
8.229089675659573164e-06 1.031135191249354250e-06 1.000258009172842759e-08 -3.167656972777828372e-02 7.639905882216346811e-02 4.472248909438518438e-02 6.000000000000000000e+00
8.293838677815550125e-06 1.023097171017727769e-06 1.000184622543931747e-08 -3.253856741590277490e-02 5.523067134936265887e-01 5.197681460777238138e-01 6.000000000000000000e+00
8.341565376518251680e-06 1.017397062158559196e-06 1.000108311956992171e-08 -3.343552503719948721e-02 7.699962835582550014e-01 7.365607585210555142e-01 6.000000000000000000e+00
8.432256607261394754e-06 1.017555621437422701e-06 1.000038887766161708e-08 -3.487484508729285504e-02 6.363130180756915166e-01 6.014381729883986338e-01 6.000000000000000000e+00
8.432368418209552921e-06 1.017700024484558639e-06 1.000039608111878104e-08 -3.498220914411163951e-02 6.556713652577954576e-01 6.206891561136838043e-01 6.000000000000000000e+00
8.332292080229379807e-06 1.018057218640428766e-06 1.000000000000000021e-08 -3.558918336144901995e-02 6.412799740757506584e-01 6.056907907143016523e-01 6.000000000000000000e+00
8.162145275440913869e-06 1.018242038039470331e-06 1.000038305225777697e-08 -3.502777784091229418e-02 3.190692534493191346e-01 2.840414756084068681e-01 6.000000000000000000e+00
7.938635261397196204e-06 1.018506141383701065e-06 1.000000000000000021e-08 -3.441956225498338240e-02 1.246063376841632930e-03 -3.317349887814174947e-02 6.000000000000000000e+00
7.704364958342493989e-06 1.018707803075114795e-06 1.000053586843224737e-08 -3.325582979308444598e-02 -1.716716963965723153e-01 -2.049275261896567613e-01 6.000000000000000000e+00
7.504037627657027232e-06 1.018902528741537280e-06 1.000100329515605754e-08 -3.226013566808400013e-02 -2.858297193639884881e-01 -3.180898550320724882e-01 6.000000000000000000e+00
7.365429236015825533e-06 1.019083541982041341e-06 1.000133583642800436e-08 -3.116700015652053291e-02 -2.158733736784785862e-01 -2.470403738349991052e-01 6.000000000000000000e+00
7.287718454127725729e-06 1.019250647817148714e-06 1.000153164622856058e-08 -3.054771782295796767e-02 -3.902649636680202150e-01 -4.208126814909781688e-01 6.000000000000000000e+00
7.252673390959156672e-06 1.019391384369529574e-06 1.000182794238368297e-08 -3.048218261019018660e-02 7.866697610073458691e-02 4.818479349054440031e-02 6.000000000000000000e+00
7.239309989756908646e-06 1.019534597582905176e-06 1.000197589878853585e-08 -2.987396354505680168e-02 1.510158671831938193e-01 1.211419036381370107e-01 6.000000000000000000e+00
7.207325417754205538e-06 1.019691134662619030e-06 1.000207162959011050e-08 -3.010197849420871014e-02 2.615339768584608038e-01 2.314319983642521006e-01 6.000000000000000000e+00
7.123426434545578391e-06 1.019860566344021654e-06 1.000229340984192567e-08 -2.982182998193487478e-02 6.012515597910681464e-01 5.714297298091333133e-01 6.000000000000000000e+00
6.959410020641848691e-06 1.020050179953493547e-06 1.000271282133619720e-08 -2.927936404370426460e-02 8.611791549689584713e-01 8.318997909252542344e-01 6.000000000000000000e+00
6.706027344437339122e-06 1.020262808199636746e-06 1.000335754737263876e-08 -2.808981814495972729e-02 9.060370641291441984e-01 8.779472459841844989e-01 6.000000000000000000e+00
6.367385980248692028e-06 1.020498042305528705e-06 1.000422349207978854e-08 -2.669325986847632254e-02 5.397746012919935055e-01 5.130813414235171344e-01 6.000000000000000000e+00
5.946999835645695246e-06 1.020755622779916800e-06 1.000530804552251338e-08 -2.524885149837199916e-02 2.448810901874765023e-01 2.196322386891045031e-01 6.000000000000000000e+00
5.498083774064945975e-06 1.021022465948627470e-06 1.000648293428279709e-08 -2.293823539506475301e-02 -1.198725240770102118e-01 -1.428107594720749718e-01 6.000000000000000000e+00
5.219510555036014172e-06 1.028714351559664591e-06 1.000768458906396066e-08 -2.144065881473217194e-02 -1.539019944679118623e-01 -1.753426532826440343e-01 6.000000000000000000e+00
5.220835584471714731e-06 1.047690375242988200e-06 1.001035543724075058e-08 -2.053810951855102040e-02 -1.836414180835372889e-01 -2.041795276020882954e-01 6.000000000000000000e+00
5.278111824955803020e-06 1.066133316475290717e-06 1.001129253104360536e-08 -2.020134765460784160e-02 1.253533200100243050e-02 -7.666015653605411095e-03 6.000000000000000000e+00
5.223446755545505443e-06 1.075147582963815609e-06 1.001336691439295049e-08 -1.958658209062306282e-02 -1.326141982472233138e-01 -1.522007803378463697e-01 6.000000000000000000e+00
5.253072333252210896e-06 1.083072319062109450e-06 1.001447743553008193e-08 -1.879722164346565166e-02 -4.548912966393086066e-01 -4.736885182827742513e-01 6.000000000000000000e+00
5.226537199953348081e-06 1.084209878547579245e-06 1.001528119612522064e-08 -1.786849046367659094e-02 -2.176077018800413043e-01 -2.354761923437178883e-01 6.000000000000000000e+00
5.185703292474938829e-06 1.078163882897458474e-06 1.000087430826418215e-08 -1.791791890195234410e-02 5.443240969114526706e-02 3.651449078919292296e-02 6.000000000000000000e+00
5.187141985211745538e-06 1.075266538273620925e-06 1.000087710471742779e-08 -1.787486114704243956e-02 9.003762325441044823e-02 7.216276210736800867e-02 6.000000000000000000e+00
5.188688448665247393e-06 1.070353968590399163e-06 1.000087706988457427e-08 -1.829227906110247881e-02 1.989075432935063503e-01 1.806152642324038715e-01 6.000000000000000000e+00
5.190057337686099449e-06 1.065257663755816860e-06 1.000000000000000021e-08 -1.884346968173290088e-02 2.698862052207928741e-01 2.510427355390599802e-01 6.000000000000000000e+00
5.191605944532787055e-06 1.060410615834184422e-06 1.000015046296433659e-08 -1.932645183650041898e-02 4.667296799527616002e-01 4.474032281162612090e-01 6.000000000000000000e+00
5.193133032608106825e-06 1.056074437634040432e-06 1.000000000000000021e-08 -1.953434476629616751e-02 1.697374419251982403e-01 1.502030971589020658e-01 6.000000000000000000e+00
5.199931436232072705e-06 1.053437026163712411e-06 1.000000000000000021e-08 -1.977764146233859655e-02 2.098383587157748309e-02 1.206194409238886545e-03 6.000000000000000000e+00
5.201421826736922110e-06 1.050550403271386100e-06 1.000000000000000021e-08 -1.993791494794276697e-02 -1.786610713769238856e-01 -1.985989863248666665e-01 6.000000000000000000e+00
5.203201509643847398e-06 1.046050622239997316e-06 1.002240805584266342e-08 -2.062764147956012983e-02 5.176167423272239887e-01 4.969891008476638450e-01 6.000000000000000000e+00
5.205243666094771498e-06 1.043321535396861099e-06 1.000000000000000021e-08 -2.083510681278793325e-02 2.857446665581608869e-01 2.649095597453729467e-01 6.000000000000000000e+00
5.215349983498733432e-06 1.038172612612543347e-06 1.000000000000000021e-08 -2.103573217459763639e-02 -1.091912302467274998e-01 -1.302269624213251431e-01 6.000000000000000000e+00
5.230200340300840147e-06 1.030728126366081602e-06 1.000000000000000021e-08 -2.093520905622084372e-02 -2.688966327337158901e-01 -2.898318417899367061e-01 6.000000000000000000e+00
5.250324308985452560e-06 1.020731351374675005e-06 1.000000000000000021e-08 -2.106466821279408264e-02 -2.754266711480735097e-01 -2.964913393608675785e-01 6.000000000000000000e+00
6.443773973462878480e-06 1.062397951993869354e-06 1.000000000000000021e-08 -2.451425764999042717e-02 -2.072800077583671907e-01 -2.317942654083576248e-01 6.000000000000000000e+00
6.506195492579649016e-06 1.048412214664841706e-06 1.000000000000000021e-08 -2.488760779269819784e-02 -8.582167763261416837e-02 -1.107092854253123593e-01 6.000000000000000000e+00
