S T U Misfit
1.526251502451083229e-05 6.525104820691923127e-06 2.603907820743229015e-07 3.291906789852461620e-14
1.727041606049435816e-05 7.613873448497492406e-06 7.083052079534363776e-07 1.323969523610953261e-13
1.809240899204159122e-05 8.314647368524860437e-06 8.581102857857242002e-07 8.057012025303177522e-14
1.876783850363381752e-05 8.498363734255716466e-06 1.167573588690527898e-06 2.360601232496699985e-13
1.795984990452832510e-05 8.289927136986456475e-06 7.335250987254361104e-07 4.020990783976640373e-16
1.707264952425914073e-05 7.566080312896722459e-06 1.216885169612287545e-06 1.875657578449375483e-10
1.477151006163543640e-05 6.465555297938869451e-06 7.623027996581108037e-07 2.356194138899491596e-13
1.152751174060691603e-05 4.689049649661796497e-06 2.209668239071551286e-06 1.415575658624375344e-01
3.775350120995921645e-08 -7.032427585528077795e-04 2.960523586661821227e-06 2.135949174678469009e-12
-6.320092981708992527e-06 -1.680968955321566615e-04 3.443365349903890370e-06 1.427582657745242456e-01
-1.120386015875031502e-06 3.686852076039808792e-04 3.658085669004378917e-06 1.644215066306697713e-13
1.522934276948567308e-05 8.150169454791670763e-04 3.604795341009795221e-06 1.434075138676732253e-01
2.255087829415374726e-05 1.160969650537754068e-03 2.578392255340400224e-06 1.209184590034343947e-13
2.841078171563501362e-05 1.409889602704002699e-03 2.577443902225694784e-06 1.452241390115563968e-01
3.216650898457213076e-05 1.561883004981435641e-03 2.218197718112383674e-06 1.540825922278435258e-14
3.404484035367943973e-05 1.616828325906818518e-03 2.749179198137090172e-06 7.871877307184154809e-15
2.653637724451431479e-05 1.524165219911749469e-03 2.367156819588933251e-06 8.272182513324384268e-12
3.091774896266420849e-05 1.427495064246921564e-03 2.024932230355182200e-06 2.160499945143999767e-12
3.245911614002311755e-05 1.227500280276155225e-03 1.226440594970218749e-06 8.819109313446522086e-06
3.116028411382336930e-05 9.238974792085324688e-04 6.873659688168367309e-07 1.382417770890880249e-01
2.702132158857121691e-05 5.167869675614150844e-04 6.695888972517230230e-07 9.322865007385368417e-05
2.004222856426664343e-05 6.107190190048161383e-06 1.759271123933612209e-06 2.946570682055703627e-13
1.022300504090966072e-05 -6.079392709872672882e-04 1.957767868576604585e-06 7.708705474891191913e-14
1.191060837306362968e-05 5.903059844445148055e-05 1.970139302673276044e-06 2.137298351687211410e-13
1.173893221548312814e-05 1.036977221811734442e-04 1.796614999408803479e-06 3.212079781179617912e-14
1.614029094562397524e-05 9.609977265874899640e-05 1.437297743421644271e-06 1.367252472017994880e-01
1.868690842055728354e-05 8.169711931663349190e-05 8.921689807936862102e-07 1.391264882229734656e-01
1.936920979087149709e-05 6.034455611738365324e-05 1.544865681392626604e-06 9.097226435966354653e-14
1.819014766639631277e-05 3.224714365499292858e-05 1.396835880144431019e-06 9.058699426630717748e-13
1.514767793263425216e-05 -2.668584087243069379e-06 1.153422941260548965e-06 1.209519658866025818e-12
1.024180058958531189e-05 -4.440368641308781563e-05 8.146358673732584986e-07 1.279724692335664099e-10
1.820248977188695282e-05 6.625626461612278498e-06 3.786758851553086809e-07 1.955312530850255803e-12
1.775310148436297415e-05 6.523986276823269762e-06 -1.498205552920365280e-07 7.809809527876627712e-14
1.074752111605651484e-05 5.545401709955101266e-06 -6.980063439740917642e-07 1.927063944954127383e-14
6.089065095213824975e-06 2.228856225524483098e-06 8.441514742330785443e-09 6.009295489981427127e-15
1.285953751122373411e-05 3.680184968004477455e-06 9.127737663039576569e-09 1.002999295564988516e-13
9.908317391534618131e-06 -1.736310210303939332e-06 9.754633190120362425e-09 1.007771299243781654e-13
1.032791401748331548e-05 -7.024422925207687374e-04 1.009014457901192593e-08 2.466471828072289991e-13
1.325244073927528066e-05 -6.447976156273184508e-04 1.008426770324011656e-08 9.727732840432476435e-02
3.902120587687261564e-05 3.050040643802394706e-04 9.483893459980484038e-09 2.788507639397802967e-14
4.596713164495347186e-05 1.058709841929013178e-03 8.997173887901803873e-09 1.922374124080555200e-12
5.475994449631246819e-05 1.709348215455277174e-03 8.199182548652735157e-09 6.047125067171870823e-11
7.146334006326028306e-05 2.203190706803655804e-03 -4.431842785946425755e-07 2.352368829764559038e-10
8.185929956285596979e-05 2.531953194732659233e-03 -6.917121610045590443e-08 8.358991535538000428e-14
8.594886509268644874e-05 2.695763214908076036e-03 2.470354148653804298e-07 2.261474612792716386e-14
8.275393600130396903e-05 2.694574531135875660e-03 5.052606170097394239e-07 1.100705105965094587e-14
7.504579746781049371e-05 2.528441559531907114e-03 7.088663742408863198e-07 1.942195227983965823e-13
6.090589625932877753e-05 2.197376077341093616e-03 8.533210881175361942e-07 5.445912604606213909e-14
5.142777903631692220e-05 1.702233261489443641e-03 9.404407575805128282e-07 7.716111374416742663e-12
3.740972921775785381e-05 1.041128816286423326e-03 9.697142463287745839e-07 1.440732518669551598e-01
2.376824743607967896e-05 2.237258613655058082e-04 9.409975940520130403e-07 2.615474326703768136e-13
1.998897555387941428e-05 -7.469054096558862179e-04 8.546411136209443912e-07 1.074881822376662122e-14
1.147983432508712801e-05 -5.055783599701166656e-04 7.104294548076233836e-07 1.714116406969529918e-12
1.146286871698731219e-05 -1.043817499370709685e-05 5.084612896224075972e-07 6.616216474588105645e-14
1.363884524301836079e-05 -2.353470199133078614e-05 2.485142237151119193e-07 7.961658838835703914e-15
1.683495699540372441e-05 -6.849894076652379357e-04 -6.917619625796570367e-08 2.871219652178913446e-13
3.875585261380145089e-05 -8.151073426013619671e-05 -4.446607700207416663e-07 1.152363755309306717e-12
4.935692538698436622e-05 4.241020031591620997e-04 -6.996965564959707713e-07 1.408840094740974830e-13
5.588507179536212005e-05 8.359399291310921128e-04 -1.119329800313113082e-07 1.484193876359914096e-14
5.834029183893473273e-05 1.154158080886241028e-03 -3.094426977269832716e-07 8.507503014718709208e-13
5.570168956797717596e-05 1.378529675091106580e-03 6.768585730327524338e-07 3.955525427585144991e-14
5.352650079430834796e-05 1.509408234816359993e-03 1.406412315544185302e-06 3.503116972686833509e-14
4.702692702181541742e-05 1.546535192326681848e-03 1.782314511907376509e-06 9.961947081830342509e-15
3.620296825049837755e-05 1.489835813352855453e-03 2.549331076518205821e-06 1.598083991556007000e-13
3.507028489456620504e-05 1.351289718904003694e-03 3.085933879845771439e-06 1.075115586956735397e-01
2.496994705695918944e-05 1.113872579680180068e-03 3.392865686237973048e-06 2.506110883271148957e-11
1.392149562399657866e-06 6.482555097508974507e-04 3.469606273938539171e-06 8.631328367213135511e-02
5.200155624213966194e-06 3.412006222086868081e-04 3.315740354566488783e-06 3.720578060096804099e-11
1.287394196946350382e-05 -4.381228720697110990e-05 2.931417068805270073e-06 7.917671106776336121e-02
1.053543538952867679e-05 -5.539104834197538943e-04 2.317327726020822421e-06 8.283817083713611307e-02
2.240688218371459341e-05 2.126629715870696324e-04 1.472927476507295494e-06 4.848682924522069336e-07
2.408954051236743773e-05 2.561330561198455554e-04 3.984182326342927171e-07 1.844905024919568239e-14
2.419473102477678986e-05 2.821369848321964762e-04 4.771380328240162606e-07 6.673832314601995759e-12
2.272245372094265658e-05 2.909735012492907524e-04 -9.941947577386682984e-07 2.761064514648863700e-13
1.039077411465537524e-05 -1.140473361278180036e-04 5.081892971097085583e-08 1.732498757027733703e-15
1.926440573106952731e-05 1.902906306084793577e-04 2.601852893237571282e-07 6.404442402662837807e-16
2.280795608708382539e-05 4.263664029981297302e-04 2.032691611042187223e-08 3.639344483985517671e-13
1.495516868686508629e-05 5.487749829849325207e-04 1.037166512251767059e-06 1.822045075797934970e-15
2.122229125952815790e-05 6.862389605723104259e-04 1.587621453186193566e-06 8.819310339085776222e-14
2.394422922337814943e-05 7.497695859611833939e-04 1.988715238991089661e-06 1.307878217540975829e-07
2.289096450508596979e-05 7.393548061812966424e-04 2.240357850077392091e-06 8.368702341740449913e-02
3.647433039625257639e-05 9.202893644811787699e-04 2.342323697032438705e-06 3.306299925702358972e-16
3.943447276408540279e-05 9.094418213589016645e-04 2.295320833521769695e-06 5.943081470771603211e-14
3.846949124465461490e-05 8.419433514600062254e-04 2.098686665321743063e-06 8.808113613373398654e-02
3.775426059684577695e-05 7.179629347449236572e-04 1.753074284940808484e-06 3.198060904907306851e-15
3.436580366255007638e-05 5.373840140194736416e-04 1.258054905656984030e-06 1.731783586646533097e-14
2.839537599027791871e-05 3.002152304122030413e-04 6.136674911457405613e-07 2.882339484973296994e-08
1.977980066182978279e-05 6.444155713970656381e-06 -1.801418812584190496e-07 5.236964188085864731e-13
8.519077677205678776e-06 -3.440946836755351596e-04 2.596850673626725259e-07 5.271021021676738959e-13
1.282007852858605819e-05 2.605598007066960324e-05 -6.495055198996923717e-08 6.791130226832450845e-15
6.383988838376931937e-06 -5.842410715120798091e-06 -4.485449530593320496e-07 3.860836643887320279e-12
-1.507256907212059372e-06 -4.362687628832820092e-05 -5.871589801901226105e-07 1.011757258500265409e-08
6.808723877072731152e-06 1.605218975286980491e-06 -8.829464140000567680e-08 1.540450363702347179e-12
5.213760704134646608e-06 1.484277410423894596e-06 3.337571973303681963e-07 4.963684977622087734e-11
-4.359412952187890231e-06 -2.215046076762100232e-04 6.793165887041489001e-07 7.335592291242166258e-13
2.260670334070315990e-06 -3.581779680637725999e-05 9.478281565806546567e-07 8.890263289786080273e-15
8.371969434107323662e-06 1.213215886059015132e-04 1.139649283368537693e-06 8.978404304013338817e-13
1.222769154487037937e-05 2.498534762472176280e-04 1.254502813048805777e-06 1.213708167118952140e-13
1.802941368713220481e-05 3.500206537741092712e-04 5.878995085241394669e-07 9.295888412214141361e-02
2.103844105899080037e-05 4.214121779863073567e-04 1.137132072387137644e-06 3.190789813311631668e-13
2.300840965879789223e-05 4.642481297978611030e-04 1.519187124440769353e-06 1.531031429316764614e-13
2.369819067139885521e-05 4.785147994700673295e-04 1.734000863671298912e-06 1.163516485461481554e-13
2.256008354885632091e-05 4.641863264158188574e-04 1.781419443231355314e-06 1.582872146140627342e-11
2.123716205883659575e-05 4.213350139849766462e-04 1.661792027160680139e-06 1.504783602744024685e-14
9.898907143832205182e-06 -1.606581441314071596e-05 1.375049652274630822e-06 5.626355919892680077e-13
4.508915267514186845e-06 -1.400827883718610710e-04 9.209705257471500473e-07 9.278903416749129107e-02
4.318477016553605365e-06 2.603288587253522112e-04 1.474523524559863390e-06 1.755430132617250993e-13
1.570950103239443830e-05 5.488889282031702297e-04 1.338587016430615138e-06 3.776175347760682447e-14
2.369772965169684406e-05 7.194269258862757499e-04 1.112557594231915992e-06 3.988963862143648943e-12
4.379979695182011421e-05 1.209109905186874770e-03 7.957721388159419789e-07 8.035252491601687289e-13
5.171199466683613975e-05 1.386417190407488202e-03 3.872376323738029501e-07 4.564900438367814564e-12
5.622117826914105592e-05 1.474173370220205684e-03 -1.088831049687423071e-07 1.417211895894466170e-15
5.735671165317535181e-05 1.472436453163264870e-03 -6.955666195395541558e-07 2.186654193030213311e-15
5.571847679715576410e-05 1.381071698217195640e-03 1.053503626300179247e-08 7.704670508041423008e-13
4.215473333780598393e-05 1.150065098772883997e-03 1.142771083698152163e-08 4.139931238489084903e-14
3.231649805107849487e-05 2.158069508438350105e-04 1.197651518626553409e-08 3.425311001720299641e-12
3.378348004176240176e-05 4.795602026586063367e-04 1.199218143204625810e-08 9.716810425478428240e-10
3.075462999060954948e-05 5.569274402476959672e-04 1.207787654013950438e-08 5.951552735274784345e-02
2.155234665496225265e-05 4.478429737814124925e-04 1.192464900597852714e-08 1.481148467172406153e-12
2.390603276557437014e-05 8.702211950431029946e-04 1.139221701328671107e-08 4.329227640324308738e-14
3.011762303812940566e-05 1.432499456248961193e-03 1.058875785607464348e-08 4.214871676784622482e-14
4.051214465691502833e-05 1.574582666005377302e-03 9.735792345108102936e-09 2.892902308676261233e-13
4.038484576287032697e-05 1.616614209973999501e-03 8.802953789334920125e-09 1.607862674056553686e-15
3.797308929364240322e-05 1.561718123760314847e-03 7.660187599875331323e-09 8.058403130159091343e-06
3.327782972989656559e-05 1.409899953782369104e-03 6.363504510417403431e-09 7.488550352589305866e-16
2.631137670302090823e-05 1.161104999310236165e-03 7.909796882099726311e-09 2.172579436466688096e-11
1.706520816051597484e-05 8.154168338442094061e-04 8.003444402881154424e-09 1.697989459668567791e-13
6.440651993670954956e-06 3.729040751063041168e-04 -6.969904073097505159e-07 2.005535048827129305e-12
-6.864209862709647435e-06 -1.666833368032066517e-04 -1.090054581179471370e-07 5.764711250159595555e-15
-5.426368367496038975e-06 -7.046869810371096709e-04 3.882971101913607849e-07 2.369021687431105699e-15
3.189892727176748807e-06 1.068988526574565045e-06 7.950262054414748334e-07 4.236221551240550583e-16
3.032366683355557670e-06 1.027979046977407151e-06 1.111441124391751421e-06 2.331974394824750075e-12
3.114530493915572701e-06 1.079718125746769033e-06 8.226440320400090996e-07 8.459979731051387909e-12
3.242327646884799586e-06 1.012571882086728674e-06 1.387352997332386645e-06 4.694163404790507018e-14
3.317930296454373699e-06 9.661962073499940814e-07 1.795646981349934162e-06 1.030180624799744704e-01
3.375865917615658353e-06 1.011066364694936647e-06 1.342261289253533181e-06 8.518321722716708004e-15
-5.388474211800760277e-06 -6.204327357993719643e-06 2.025531602180750896e-06 1.094050854236158756e-13
1.971301287685128727e-06 -2.935594834223735286e-07 2.461758665317978885e-06 5.264388489727310480e-14
7.163399532983380150e-06 4.687307655836073532e-06 2.650984503449370369e-06 4.470918073549211939e-13
1.308978291124007282e-05 8.853094321821457672e-06 2.593718607345485354e-06 1.014082919245048592e-01
1.773499079015789147e-05 1.212230176695392407e-05 2.289576446179135997e-06 2.420874936092318721e-13
2.110127299505622803e-05 1.449143096778721978e-05 1.738571428498670612e-06 1.196084286141372343e-12
2.319456465225161359e-05 1.582386278440149014e-05 2.324138650776551049e-06 9.791035536518799542e-02
2.401075682814028415e-05 1.639156852068491513e-05 1.342658934478299366e-06 7.242555485215868581e-13
2.354984952272224646e-05 1.592105106158373545e-05 1.497699276466198032e-06 5.368641831417092988e-12
2.181184273599749376e-05 1.462284159703932690e-05 1.207595614756858096e-06 8.190101481758343538e-13
1.905851995011340023e-05 1.232677233847439150e-05 1.034201641991047719e-06 1.379223602807309995e-09
1.491174946863488526e-05 9.004559635393509853e-06 1.598431945008331590e-06 4.103385736217407922e-05
9.278394573706364996e-06 4.858273569203154793e-06 1.441533573481565980e-06 3.157083883744578068e-14
2.800474329020391540e-06 -1.605820663830779058e-07 1.078496680110587513e-06 1.952473330762890760e-16
-1.273661887386896889e-05 -7.273727270672791865e-06 1.892534442154760635e-06 1.001097715663528398e-01
1.953070083160241681e-06 7.446447942302455802e-07 1.885428757858268846e-06 9.784994293673948175e-15
-2.147009242222051602e-06 -6.174301521430887590e-06 1.762679383585937308e-06 9.899026932216503649e-02
1.078567919176850826e-05 9.952860696491304703e-07 8.190179252337439577e-07 2.897258274884733881e-09
2.053977298368901745e-05 6.879918395344110419e-06 1.052215413736090019e-06 3.315057397194953324e-12
2.786052419322642069e-05 1.165237932002877791e-05 1.079086357678661991e-06 2.069420848906108537e-12
3.353393458618474717e-05 1.534679414428437872e-05 8.997604740970551828e-07 4.704896032151550336e-13
3.666261420725941639e-05 1.792862992022660490e-05 5.140611474250841897e-07 2.752056932286879124e-15
3.824003403499568745e-05 1.930227716099725338e-05 1.305633322569832739e-06 1.777860617677246618e-09
3.758135452275638503e-05 1.964010272677511662e-05 1.276070859091701914e-06 4.383222609912115240e-12
3.468520339610315294e-05 1.874525443920522710e-05 1.519551496962546905e-06 9.309669623891136947e-02
2.955158065503599120e-05 1.680553375192070915e-05 1.474347807311711409e-06 2.324949294866596185e-13
