S T U q1 q2
9.361830395099674732e-05 1.287935663252044595e-05 7.698599622914891246e-09 5.376076546104391340e-03 1.662341637145647866e-01
9.345935084506525406e-05 1.288349480773113331e-05 7.623406934967555430e-09 5.381881607279037638e-03 3.017030104091027454e-01
9.314436625894883008e-05 1.294330083561302398e-05 7.552932789447726365e-09 4.781329757106433931e-03 4.566622701843208176e-01
9.275060299525885929e-05 1.306535159268051478e-05 7.495061243479451814e-09 -6.765072962019447189e-03 1.476766813014158686e-01
9.238964216115609087e-05 1.325265646115211156e-05 7.447847981621723757e-09 2.317182846471865787e-04 7.636036944515467439e-02
9.215013982360194635e-05 1.350894226340485470e-05 7.402742950839023490e-09 -5.240593352088041001e-03 -2.141862732681261150e-01
9.205897679020433625e-05 1.384389906551461913e-05 7.350865896002100656e-09 -1.154889788247848159e-03 -8.530746353793894343e-02
9.208998883336960250e-05 1.427489259172576432e-05 7.286624095230451229e-09 1.376178766267832643e-03 9.297832387087190398e-02
9.221938006976883534e-05 1.482088623033278577e-05 7.203341820487843317e-09 7.341145310942209790e-03 3.099066846526330465e-01
9.248111791411962814e-05 1.548834622779144692e-05 7.082075383460637176e-09 -5.485602053747262730e-03 -2.220729080237653363e-01
9.295702522310405301e-05 1.625667047310527314e-05 6.886324629372241057e-09 -6.748595244968180751e-03 -7.858520377911801802e-01
9.369626853039912130e-05 1.707791885254632925e-05 6.580891762640538763e-09 1.082756394742978578e-02 -2.101975260243886368e+00
9.464088792158609870e-05 1.789918469048217247e-05 6.171113986755400170e-09 6.900874456723382622e-03 -2.234215667625736756e+00
9.563444213470138151e-05 1.868896517656347004e-05 5.720008870598741566e-09 5.761075060067399889e-03 1.052747937868065975e+00
9.651234860105194224e-05 1.943217333912514066e-05 5.313199848373238658e-09 4.842278194276516956e-03 1.552182921858672238e+00
9.719207886456284352e-05 2.009114923112152401e-05 5.007235282034820294e-09 -6.858470066968935797e-03 7.069313528138314595e-01
9.768138976313836520e-05 2.057824843545840175e-05 4.811612423625403295e-09 -3.658163222853394458e-03 2.939299401221955321e-01
9.801779099096243357e-05 2.077973875350558607e-05 4.706240425844832859e-09 -1.202758757310684601e-03 -7.899416857814500759e-02
9.822874916340813009e-05 2.061686327869107291e-05 4.667265127486485328e-09 4.293178216121296131e-03 1.443309997506947440e-02
9.835027973652812276e-05 2.009307758848825898e-05 4.682067006583236866e-09 -1.115087015994165043e-03 -1.452036563791025969e-02
9.844676611101747885e-05 1.929201141989221043e-05 4.749313500107640900e-09 -1.043700896905463971e-02 3.154767801577946784e-01
9.857931411222137404e-05 1.833422224191131030e-05 4.868858760214915518e-09 -8.194127319908206530e-03 5.272636184559686967e-01
9.875452546426649646e-05 1.732940586158349689e-05 5.030195055785330501e-09 2.274460039195291827e-03 -9.921928462880913457e-02
9.891458863600863780e-05 1.635391875665223325e-05 5.208237785431375677e-09 4.821709241747962338e-03 4.373237697088594444e-02
9.897194097199839757e-05 1.545637019629249385e-05 5.371234189365522818e-09 7.226993505041301447e-03 -6.254311238697916053e-01
9.885282338677394570e-05 1.467396607015217072e-05 5.497240714650751848e-09 8.567492962886280594e-03 -3.159937110939399219e-01
9.853960199693111805e-05 1.404159854956461446e-05 5.587302545938132410e-09 1.304177187924904224e-02 2.869596587031084667e-01
9.811042416718097382e-05 1.358768861787748976e-05 5.664163160650550281e-09 3.353765167936506586e-03 9.944031748787631741e-01
9.773470355023132126e-05 1.332442731861001794e-05 5.758497199849549758e-09 -1.244524221112541795e-02 2.301954660382561357e-01
9.758799208050861771e-05 1.324359262249827841e-05 5.895354380174002391e-09 -1.440067558009361370e-02 6.952986617799803426e-01
9.773859190457475667e-05 1.331995872109439761e-05 6.088053017908318821e-09 -6.190832874547469444e-03 3.840697290830243915e-01
9.810603752955186633e-05 1.351573182711386280e-05 6.335781299495566459e-09 -3.262489096097276331e-03 5.559711871532133642e-01
9.852606329661295792e-05 1.378165582631531158e-05 6.620292738927700855e-09 9.835118642994133964e-03 3.704032160461174783e-01
9.886106478513706768e-05 1.405918632878216501e-05 6.905323933931519788e-09 4.983220036780977580e-03 -8.947058710856179431e-01
9.906948237033309920e-05 1.429073083480734021e-05 7.146760316125574951e-09 9.539262319858465844e-03 -7.704380974559210671e-01
9.919725575500372894e-05 1.443774033691249806e-05 7.312277085714072395e-09 3.679274016745059939e-03 -1.092573452054971028e+00
9.931628690188686005e-05 1.449736901835552381e-05 7.395547474689668084e-09 -1.754778310629756533e-03 -5.631124359822017311e-01
9.946049153196420548e-05 1.450571833739226753e-05 7.412145981940598154e-09 -2.220074418966211383e-03 -5.000248038264487604e-02
9.960181942827894450e-05 1.452093260064086413e-05 7.383084933496571803e-09 8.616173110908009747e-03 1.322973365610913277e-01
9.967676713159629625e-05 1.459263454227919137e-05 7.322824427388850784e-09 4.705022796907654126e-03 1.362082569314324587e-01
9.963531854953831389e-05 1.473764137599986479e-05 7.239794180226522466e-09 6.549664316870540404e-03 -2.870255954837830359e-02
9.947218200344469009e-05 1.493862061648610949e-05 7.143396038246728345e-09 2.529220508227902897e-03 -3.722845774983163381e-02
9.922503782966373104e-05 1.516298589248345040e-05 7.048048225032026499e-09 -1.872199443301747479e-03 8.612884650024987820e-02
9.895135117308915184e-05 1.538388076673467329e-05 6.970750544208790983e-09 -3.947565643370953836e-03 2.418485042396945062e-01
9.870371886277871801e-05 1.558785087283060301e-05 6.924816144483976786e-09 -2.098153609808584008e-03 2.386999145454531401e-01
9.851548941960938731e-05 1.576883475941796004e-05 6.914062944251093208e-09 -7.949009854277377940e-03 2.339899350496228436e-01
9.839970523888546931e-05 1.591922396120324214e-05 6.930953967475788093e-09 8.222997700932932474e-04 1.661517360377455788e-01
9.835917646397586238e-05 1.602765514889414769e-05 6.961085096018650763e-09 -1.617789497269095378e-03 -6.149623489582332070e-01
9.839937166497789178e-05 1.608359364406966070e-05 6.991841656440425592e-09 1.174054253457734731e-03 -3.319958737369255175e-02
9.852985884261023430e-05 1.608114231688379995e-05 7.017040927474617800e-09 -6.964917892708477609e-03 2.586371203940096564e-02
9.874778123108867193e-05 1.601777533689776565e-05 7.032883636411673440e-09 -2.290323229453550269e-03 -2.171023506581377660e-01
9.901696660776046922e-05 1.589376993511135188e-05 7.032316933241570422e-09 3.440096014411642145e-03 -3.155497082678948573e-01
9.926278334880314093e-05 1.571725804531990276e-05 7.007384404307287035e-09 2.276594985195945497e-03 -4.410343898607358426e-01
9.938931970331097777e-05 1.550804122805176605e-05 6.957816216487235236e-09 7.741929702256511447e-03 -2.636377717571036783e-02
9.931150906105818440e-05 1.529053524648085269e-05 6.895633627803590978e-09 6.588321880284242482e-03 3.244511994012100331e-01
9.898869664237495275e-05 1.508042960036350194e-05 6.840493883515698071e-09 5.113094049910671401e-03 4.326609555293359222e-01
9.844083378060177077e-05 1.487950109115585094e-05 6.810622879224067991e-09 -2.233242270713864386e-03 2.466176566508089252e-01
9.773741949116300054e-05 1.468295503509118258e-05 6.816749015289158266e-09 2.260898156813073712e-03 2.805636143027676610e-01
9.697295589407582727e-05 1.448916998010420545e-05 6.860912581965652404e-09 -4.680187319767936671e-03 3.266761993987277179e-01
9.624649717643333688e-05 1.430244768409667719e-05 6.937379294160834934e-09 -2.829025349463387684e-03 1.073592298543193380e-01
9.564620031331384070e-05 1.413004522470684981e-05 7.034001344203851898e-09 -5.227619960776364039e-03 -1.040979899537344266e-01
9.523228748499387155e-05 1.397908500579710739e-05 7.134791924452624936e-09 -3.364437030867639677e-03 -1.897739184832349935e-01
9.502266534914317094e-05 1.385503553116152807e-05 7.223786400581270178e-09 -3.184315437246620917e-03 -2.490615622854228661e-01
9.499089483256877118e-05 1.376041921653065411e-05 7.288781143703643127e-09 9.338806246625974694e-04 -1.637434839966083189e-01
9.507822254473307581e-05 1.369358274604792380e-05 7.323989771469926900e-09 2.350931264856637171e-03 -3.684704087026826613e-01
9.521209864255855400e-05 1.364867740601125947e-05 7.331184702103207374e-09 -5.568193196074933127e-04 2.687910322766562388e-02
9.532399248943749940e-05 1.361735754212020053e-05 7.318932221481129380e-09 5.700690633931415618e-03 -3.011158041950068309e-04
9.536345499205512864e-05 1.359176754596407209e-05 7.300737825903471365e-09 7.504537033815594782e-04 -2.621401241599485843e-03
9.530264799704365433e-05 1.356762038239673070e-05 7.293071889893923461e-09 1.909545782450283724e-04 2.362739249725702706e-01
9.513147793511358519e-05 1.354528124487951399e-05 7.312248986077988992e-09 -1.218603475084067966e-03 4.365404839599182907e-01
9.485690211036842208e-05 1.352750457478488058e-05 7.369245563014819424e-09 9.085236530588236548e-04 4.896673926799977039e-01
9.451329297494369755e-05 1.351564413437252428e-05 7.464937874648905480e-09 4.175672081463410734e-04 1.992538899173581513e-01
9.416485274867989852e-05 1.350801342101605167e-05 7.589419416919712100e-09 -5.685344343561382630e-03 4.554853581320017497e-03
9.388387034446879964e-05 1.350205716977205849e-05 7.726306422347297605e-09 -8.790568469856374634e-04 -2.609951610492196039e-01
9.372344391140234414e-05 1.349850647124640176e-05 7.859685510836350151e-09 -1.839720934882826953e-03 -2.207091408279140410e-01
9.371472837048940138e-05 1.350406183667976518e-05 7.979540847343171347e-09 8.606828741004601824e-04 -2.088507363468430356e-01
9.388256838174723301e-05 1.353035644620446937e-05 8.081639579492611147e-09 -3.392270337390312918e-03 8.663061628585211338e-03
9.424324812896026191e-05 1.358995959586012932e-05 8.161937330340108482e-09 -6.219220751622733800e-03 -1.323131815579454695e-01
9.477309607271908437e-05 1.369252388607404192e-05 8.211898872246917719e-09 1.291031215582272296e-04 -4.568565951744059106e-01
9.538567057236749973e-05 1.384303989681984419e-05 8.221271662460739109e-09 9.738805535947747671e-03 -2.543773823679185142e-01
9.595682749391357472e-05 1.404079498839924424e-05 8.186108920697534238e-09 5.424714874993075142e-03 2.083216176462876490e-02
9.638298137118602935e-05 1.427711448073106320e-05 8.113635909185502024e-09 7.273355451728580334e-03 -2.112622869801228376e-02
9.662191153046315246e-05 1.453314017751539094e-05 8.020206848968560976e-09 3.965707482410207874e-03 3.410531784568071600e-02
9.668908762849042382e-05 1.478063670172550112e-05 7.925372330311348033e-09 -3.282393212191703213e-04 7.657208706531548614e-02
9.662474839743674388e-05 1.498656552268638879e-05 7.845027094714543003e-09 -2.815033044850867583e-03 2.765375125530660227e-01
9.646338855380943555e-05 1.512033541226518994e-05 7.785956765243419637e-09 -4.847061798518570441e-04 5.436270559277645020e-03
9.622639245593019063e-05 1.516300228759233169e-05 7.745881610421171076e-09 4.354593980695486977e-04 -1.317459901342328266e-01
9.593766343898289556e-05 1.511598475843498506e-05 7.720133235157991841e-09 2.389654183976741564e-03 -3.265813309990992508e-01
9.564437718907533724e-05 1.500295192299848842e-05 7.707876774406183858e-09 -3.525379154581065322e-03 3.766776935027262851e-01
9.541958041237303247e-05 1.486064469921406652e-05 7.709800412315569658e-09 -5.716735396137595515e-03 1.709692558276554308e-01
9.533702211444776366e-05 1.472398048500963777e-05 7.720285842415896888e-09 -5.824844503199644308e-03 -1.750931509066742109e-01
9.543624213061865469e-05 1.461562430769804034e-05 7.725079069064848078e-09 -1.864415014170006657e-04 -2.813754016887344278e-01
9.570694553441428244e-05 1.454387130338219098e-05 7.708390852491749200e-09 2.281907299868324301e-03 -2.625249524126562761e-01
9.609838568492804639e-05 1.450488947064543313e-05 7.661653534088759677e-09 -1.483907583252230822e-03 -1.772786381496320729e-01
9.653271781425754071e-05 1.448547539978687144e-05 7.585779637218113316e-09 2.433669702763818776e-03 -1.037549603740561821e-01
9.691121506258329606e-05 1.446676644705688681e-05 7.487782303497009309e-09 3.774352841453332275e-03 -6.985853359729432555e-02
9.712812830442820768e-05 1.443041472824784523e-05 7.377452092498521374e-09 5.678630843518606142e-03 -6.381961106715294818e-02
9.710444807462141679e-05 1.436580935191549978e-05 7.266131331202585307e-09 8.383041580944938787e-03 2.978488319469239087e-01
9.682689425088994244e-05 1.427460962821961560e-05 7.165313022234564891e-09 2.093528344919048934e-03 9.480695060150878817e-02
9.636268725679031919e-05 1.417027207749195834e-05 7.083694316668455410e-09 -4.490974914246326222e-04 3.851426789869680789e-01
9.583890758930912654e-05 1.407365316991181094e-05 7.024568465231923615e-09 -1.657875705021405466e-03 9.668839819317831541e-02
9.540041127588468788e-05 1.400741908841373210e-05 6.985833994112360518e-09 -6.500060229465587369e-03 -1.664947431633656549e-02
9.516441646913796995e-05 1.399070624133884433e-05 6.961893279494166614e-09 -6.067643611636031054e-03 1.218666266315135971e-01
9.518343256391791226e-05 1.403398265928498646e-05 6.944891741624316256e-09 -9.217592390571516248e-03 2.365586558182641852e-02
9.542920693267842802e-05 1.413501799198122236e-05 6.925294524853665104e-09 2.674795027771237343e-03 -1.811139907408154670e-01
9.580707470112252505e-05 1.427799321089851568e-05 6.894181374925168168e-09 -8.168542285387214719e-04 -8.051608538386290093e-02
9.619537569241705963e-05 1.443585986443994661e-05 6.846888892699562181e-09 5.867076833876661013e-03 -2.092095216898375298e-01
9.649105948087735812e-05 1.457361405450513917e-05 6.784279638525008460e-09 3.974767485044994331e-03 1.192761200332128624e-01
9.664084524938436989e-05 1.465148522556343648e-05 6.710631487960636489e-09 3.471182248213633414e-03 -1.155235191880414902e-01
9.664000103676120867e-05 1.463015291853555841e-05 6.632043797865678137e-09 4.159180183962440935e-04 -3.804985967835570193e-01
9.649552547304316059e-05 1.447893834025304192e-05 6.558245714008260294e-09 -6.421514854979548659e-04 -1.212720924817372037e-01
9.618169966062245426e-05 1.418226662002664869e-05 6.504690909176340616e-09 -2.452477891274673638e-03 6.621348103441171418e-02
9.563289947274018169e-05 1.373844209300765014e-05 6.490832319219098495e-09 8.263429391249133005e-03 4.646912447225286513e-01
9.478533680113863588e-05 1.315310762663550662e-05 6.535516292586373337e-09 2.112358876869002700e-04 4.482463410885735300e-01
9.363830816519354533e-05 1.243321928879350333e-05 6.656144901077667490e-09 4.574737030487163736e-04 2.037734759779414873e-01
9.230009244661699223e-05 1.158804859888031303e-05 6.875506536622637134e-09 -5.134601164407559537e-03 3.282832229267160784e-01
9.100998942990918812e-05 1.063749948564346885e-05 7.233490675138464055e-09 -1.143087583554880382e-02 4.248704387177095754e-01
9.009644902898805013e-05 9.632207206263117193e-06 7.788833278204159051e-09 -3.212689914566690952e-02 8.348905966352280217e-01
8.980353003040364836e-05 8.676563529412517132e-06 8.587157112452932657e-09 -5.088769872296938779e-02 6.351172514154352911e-01
9.006584945746492555e-05 7.913719846303145816e-06 9.589748952908076253e-09 -8.036980118919556659e-02 1.879737936350212024e+00
9.052779627636093815e-05 7.452520646647178852e-06 1.062585037610144246e-08 2.237074607170723706e-01 1.851218997072926697e+00
9.093976785736587103e-05 7.292973448750708913e-06 1.148014158062628329e-08 3.173065000363928245e-02 -3.203279649744018798e+00
9.149098412102773170e-05 7.317518443210884011e-06 1.207620665652708594e-08 -7.733390861513089742e-02 -1.284948446970279434e+00
9.256717486668478167e-05 7.362570702903844562e-06 1.251593258038497455e-08 -3.874188697997638098e-02 -6.493571263612629707e-01
9.420984932107385719e-05 7.325028851496021549e-06 1.292835944203563172e-08 8.186835985638740709e-03 -7.433779036877652402e-01
9.596386164555930774e-05 7.211719721594133249e-06 1.335285485639795062e-08 1.769864654462405262e-02 -1.486994904778953241e-01
9.726319214462962777e-05 7.095402677883262391e-06 1.376129624114611440e-08 3.113522907161736519e-02 1.469142843668613807e+00
9.789468781706814793e-05 7.039673272621105698e-06 1.412465189245810364e-08 1.752121958674790481e-02 1.915394001397960011e+00
9.807429467208920255e-05 7.059964192214354263e-06 1.443245002315941865e-08 -7.052573277801732488e-03 -9.916762500973703709e-01
9.813733376242423224e-05 7.135309733928254669e-06 1.467529224413957300e-08 -1.222719301898023136e-02 -1.177576701991583263e+00
9.822354196232354142e-05 7.243799904492736505e-06 1.484124559907741491e-08 2.370551939205534087e-02 -4.675700504891935338e-01
9.826257441540135480e-05 7.380962475547482787e-06 1.493281232668965099e-08 1.612491878042199289e-02 1.055815353606888607e+00
9.819273281952786312e-05 7.546172796237376595e-06 1.497200896497350967e-08 -1.297699429582788166e-02 7.444503312970489617e-01
9.810018339423538477e-05 7.724654767793939918e-06 1.497954057703155179e-08 1.260851516745598033e-03 -1.234175342079261384e+00
9.813516386146891690e-05 7.890292990653340925e-06 1.495821540066479167e-08 -2.177905972819305092e-03 -6.269963013563994991e-01
9.836168907969493162e-05 8.022360656633329131e-06 1.490174562292952434e-08 8.744697716578375690e-05 -5.317059779016197751e-01
9.871821116033201681e-05 8.115203158288453313e-06 1.480990276216346380e-08 -4.512671105112442405e-04 1.112349315794567417e-01
9.908485306494229598e-05 8.175689507196644284e-06 1.468888280777370351e-08 1.749467601935505989e-03 -1.077270528575198227e-01
9.935748488671681514e-05 8.217320597111600131e-06 1.454514393775161169e-08 4.740317454394515906e-03 -3.878610294496205313e-01
9.947902838267042806e-05 8.255830890294784237e-06 1.438705513278950838e-08 2.507663851085251139e-03 4.163494285789006710e-01
9.944619626490485060e-05 8.304003225415791298e-06 1.423164558564335155e-08 3.640430696471241845e-03 3.935584980914406117e-01
9.931181030810987522e-05 8.366241801620680286e-06 1.410615691264757943e-08 -2.852976052430178378e-03 3.629282040219194982e-02
9.917025479576630084e-05 8.437833787632646981e-06 1.403968948724450994e-08 -8.210253422467950202e-03 4.612207956991056790e-01
9.911189204369746106e-05 8.510042508366353906e-06 1.404632288844994728e-08 -1.224646771238635523e-02 6.683322247898431101e-01
9.916407937375347503e-05 8.577026716059073911e-06 1.411057901739174326e-08 -4.598728365595050604e-03 -3.849340487783052822e-01
9.926361704753749744e-05 8.640412365315093887e-06 1.419318367536826114e-08 9.751542018733516670e-03 -4.628292426703346507e-01
9.929945242661124293e-05 8.708287594043039240e-06 1.425863298002332117e-08 9.900507008874903647e-03 5.797734978466806410e-02
9.920678071557604834e-05 8.787479685744036320e-06 1.429726497760751177e-08 2.722709433768066845e-03 5.070499571854085730e-01
9.902930958956172663e-05 8.874817966671480588e-06 1.431642985804388262e-08 -8.435615628100245900e-03 1.999596982862712480e-01
9.888495035929973048e-05 8.957242025208914598e-06 1.431475118790966139e-08 8.166654963540631584e-04 -6.775826046571005179e-01
9.886531747369813766e-05 9.023085927535909635e-06 1.427468014894148532e-08 3.974898021931516645e-03 -8.133646464400214882e-01
9.895873700293315270e-05 9.074337009820139210e-06 1.418130278581599685e-08 2.902467226860716565e-04 -5.689219341126232621e-01
9.905959622949444784e-05 9.126566583256852163e-06 1.404142921224393169e-08 7.868415050070187711e-03 5.850175211251702478e-01
9.905814685604267947e-05 9.195017627798976261e-06 1.388145869922308649e-08 4.141885805071465754e-03 5.512263953529128457e-01
9.893825308201472995e-05 9.280404726354353378e-06 1.373102878121061877e-08 -2.778995305963705142e-03 7.832876349151973727e-03
9.879376027831190574e-05 9.368056956446855051e-06 1.360992003866601353e-08 -5.223543296318244877e-03 3.234065061927893225e-02
9.874576641285345987e-05 9.438929344511050651e-06 1.352397526678643650e-08 -9.394334517033642307e-03 -1.336911890704683969e-01
9.884009999509828389e-05 9.480374272093901816e-06 1.346702333752023420e-08 -4.187662318976714815e-03 -2.114151220393445385e-01
9.902031096256678295e-05 9.488911362195111745e-06 1.342682906995633380e-08 4.842633320525813190e-03 -4.647027487535027035e-02
9.919487285671970886e-05 9.466750243683508755e-06 1.339181510191619932e-08 3.347086490311679263e-03 3.147546510432874811e-02
9.932139098274698531e-05 9.417609821269061916e-06 1.335177499199511062e-08 -4.395409457718546520e-03 1.659126644142006057e-01
9.941852024051290302e-05 9.346645925553492040e-06 1.329246823814451697e-08 -2.851080199829381101e-04 -4.538043657627355287e-01
